,Dataset_name,Anomaly_classes,Training_sample_size,Test_sample_size,Test_balance_size,Test_length_dev,Anomaly_All_ratio_dev,Test_size_balance_dev,Test_All_ratio_dev,Test_Train_ratio_dev,Anomaly_test_ratio_dev,Amount_of_classes
457,458_healthy living tips_good news_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women'
 'black voices' 'travel' 'money' 'religion' 'latino voices' 'impact'
 'weddings' 'college' 'fifty' 'divorce']",5664,62859 (96.1%),2428 N,62859,0.8819082643783839,2428,0.9173416225209053,11.097987288135593,0.9613738684993398,32
458,459_healthy living tips_u.s. news,"['healthy living tips', 'u.s. news']",141019,62859 (3.9%),2422 A,62859,0.01187965351828054,2422,0.30831673844161706,0.445748445244967,0.03853067977537027,2
459,460_healthy living tips_u.s. news_INVERT,"['comedy' 'parenting' 'world news' 'arts & culture' 'tech' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college' 'good news'
 'fifty' 'divorce']",5649,62859 (96.1%),2422 N,62859,0.8821889414374964,2422,0.9175424767910317,11.12745618693574,0.9614693202246297,32
460,461_healthy living tips_arts & culture,"['healthy living tips', 'arts & culture']",139237,62859 (5.1%),3185 A,62859,0.015759836909191673,3185,0.3110353495368538,0.4514532775052608,0.050668957508073625,2
461,462_healthy living tips_arts & culture_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'tech' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college' 'good news'
 'fifty' 'divorce']",7431,62859 (94.9%),3185 N,62859,0.8489685588277137,3185,0.8942808365343576,8.45902301170771,0.9493310424919263,32
462,463_healthy living tips_college,"['healthy living tips', 'college']",141182,62859 (3.7%),2352 A,62859,0.011527095044623384,2352,0.30807043682397167,0.44523381167570936,0.03741707631365437,2
463,464_healthy living tips_college_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women'
 'black voices' 'travel' 'money' 'religion' 'latino voices' 'impact'
 'weddings' 'good news' 'fifty' 'divorce']",5486,62859 (96.3%),2352 N,62859,0.885317140975931,2352,0.9197307776721048,11.458075100255195,0.9625829236863457,32
464,465_healthy living tips_latino voices,"['healthy living tips', 'latino voices']",141192,62859 (3.7%),2348 A,62859,0.011506927189771185,2348,0.3080553391063999,0.44520227774944754,0.037353441830127745,2
465,466_healthy living tips_latino voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women'
 'black voices' 'travel' 'money' 'religion' 'impact' 'weddings' 'college'
 'good news' 'fifty' 'divorce']",5476,62859 (96.3%),2348 N,62859,0.8855052315797176,2348,0.9198653691373381,11.47899926953981,0.9626465581698722,32
466,467_healthy living tips_education,"['healthy living tips', 'education']",141273,62859 (3.7%),2313 A,62859,0.011330903533008054,2313,0.30793310211039915,0.4449470174768002,0.03679664009926979,2
467,468_healthy living tips_education_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college' 'good news'
 'fifty' 'divorce']",5395,62859 (96.3%),2313 N,62859,0.8870688897354001,2313,0.9209570135083658,11.651343836886005,0.9632033599007302,32
468,469_healthy living tips_ENVIRONMENT,"['healthy living tips', 'tech', 'u.s. news', 'arts & culture', 'travel', 'world news', 'environment', 'science', 'food & drink', 'impact']",110457,62859 (24.7%),15520 A,62859,0.08954741628008955,15520,0.3626843453576127,0.5690811809120291,0.24690179608329754,10
469,470_healthy living tips_ENVIRONMENT_INVERT,"['comedy' 'parenting' 'sports' 'entertainment' 'politics' 'weird news'
 'education' 'crime' 'wellness' 'business' 'style' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'money' 'religion' 'latino voices'
 'weddings' 'college' 'good news' 'fifty' 'divorce']",36211,62859 (75.3%),15520 N,62859,0.477833854850106,15520,0.6344907641061875,1.7359089779348817,0.7530982039167025,24
470,471_healthy living tips_ADULT INTERESTS,"['healthy living tips', 'tech', 'crime', 'money', 'wellness', 'home & living', 'divorce', 'parenting', 'education', 'sports', 'fifty', 'college', 'business', 'politics', 'weddings', 'travel']",65233,62859 (55.5%),27958 N,62859,0.2724682259625894,27958,0.49073322299597166,0.9636073766345254,0.5552267773906681,16
471,472_healthy living tips_ADULT INTERESTS_INVERT,"['u.s. news' 'comedy' 'world news' 'arts & culture' 'entertainment'
 'weird news' 'environment' 'science' 'style' 'food & drink' 'media'
 'queer voices' 'women' 'black voices' 'religion' 'latino voices' 'impact'
 'good news']",81435,62859 (44.5%),27958 A,62859,0.19375719018115792,27958,0.4356314191858289,0.7718916927610978,0.444773222609332,18
472,473_healthy living tips_AESTHETICS,"['healthy living tips', 'arts & culture', 'style', 'home & living', 'weddings', 'food & drink', 'travel']",112373,62859 (23.4%),14698 A,62859,0.08387737399561723,14698,0.3587187271731191,0.5593781424363504,0.2338249097185765,7
473,474_healthy living tips_AESTHETICS_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'tech' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'media' 'queer voices' 'women'
 'black voices' 'money' 'religion' 'latino voices' 'impact' 'college'
 'good news' 'fifty' 'divorce']",34295,62859 (76.6%),14698 N,62859,0.49571813821355787,14698,0.6470037260431891,1.8328910919959178,0.7661750902814235,27
474,475_healthy living tips_MINORITIES,"['healthy living tips', 'latino voices', 'queer voices', 'women', 'black voices']",131040,62859 (10.7%),6698 A,62859,0.03454375731695367,6698,0.32418424024878933,0.47969322344322346,0.10655594266533035,5
475,476_healthy living tips_MINORITIES_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'home & living' 'travel' 'money' 'religion'
 'impact' 'weddings' 'college' 'good news' 'fifty' 'divorce']",15628,62859 (89.3%),6698 N,62859,0.7155452495317696,6698,0.800884222864933,4.022203736882519,0.8934440573346697,29
476,477_healthy living tips_SCIENTIFIC,"['healthy living tips', 'crime', 'money', 'education', 'business', 'science', 'tech']",130339,62859 (11.1%),6999 A,62859,0.0362270830960983,6999,0.32536051097837454,0.4822731492492654,0.11134443755070873,7
477,478_healthy living tips_SCIENTIFIC_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'wellness' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women'
 'black voices' 'travel' 'religion' 'latino voices' 'impact' 'weddings'
 'college' 'good news' 'fifty' 'divorce']",16329,62859 (88.9%),6999 N,62859,0.705409910592514,6999,0.7937945143203515,3.8495315083593606,0.8886555624492912,27
478,479_healthy living tips_PROGRESS,"['healthy living tips', 'money', 'queer voices', 'women', 'education', 'college', 'environment', 'black voices', 'science', 'tech']",123228,62859 (16.0%),10046 A,62859,0.05398550140525668,10046,0.33779361266504376,0.5101032232934073,0.15981800537711385,10
479,480_healthy living tips_PROGRESS_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'sports'
 'entertainment' 'politics' 'weird news' 'crime' 'wellness' 'business'
 'style' 'food & drink' 'media' 'home & living' 'travel' 'religion'
 'latino voices' 'impact' 'weddings' 'good news' 'fifty' 'divorce']",23440,62859 (84.0%),10046 N,62859,0.6119769638118634,10046,0.7283861921922617,2.68169795221843,0.8401819946228861,24
480,481_healthy living tips_CASUAL,"['healthy living tips', 'arts & culture', 'style', 'home & living', 'entertainment', 'comedy', 'food & drink', 'travel']",98997,62859 (32.5%),20431 A,62859,0.1262294879398972,20431,0.3883637307236062,0.6349586351101548,0.325029033233109,8
481,482_healthy living tips_CASUAL_INVERT,"['u.s. news' 'parenting' 'world news' 'tech' 'sports' 'politics'
 'weird news' 'environment' 'education' 'crime' 'science' 'wellness'
 'business' 'media' 'queer voices' 'women' 'black voices' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college' 'good news'
 'fifty' 'divorce']",47671,62859 (67.5%),20431 N,62859,0.3838595856328599,20431,0.56870532886999,1.3186004069560109,0.674970966766891,26
482,483_healthy living tips_COUPLES,"['healthy living tips', 'money', 'queer voices', 'wellness', 'home & living', 'divorce', 'parenting', 'weddings', 'impact']",104409,62859 (28.8%),18112 A,62859,0.10828132099385418,18112,0.37579812038166294,0.6020458006493693,0.2881369414085493,9
483,484_healthy living tips_COUPLES_INVERT,"['u.s. news' 'comedy' 'world news' 'arts & culture' 'tech' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'business' 'style' 'food & drink' 'media' 'women'
 'black voices' 'travel' 'religion' 'latino voices' 'college' 'good news'
 'fifty']",42259,62859 (71.2%),18112 N,62859,0.42568351757073003,18112,0.5979851214825244,1.4874701247071629,0.7118630585914507,25
484,485_healthy living tips_TRADITIONAL NEWS,"['healthy living tips', 'u.s. news', 'crime', 'money', 'arts & culture', 'world news', 'weird news', 'good news', 'education', 'sports', 'business', 'politics', 'tech']",90097,62859 (38.6%),24246 A,62859,0.1585161745861555,24246,0.41096132221030884,0.6976813878375528,0.3857204218966258,13
485,486_healthy living tips_TRADITIONAL NEWS_INVERT,"['comedy' 'parenting' 'entertainment' 'environment' 'science' 'wellness'
 'style' 'food & drink' 'media' 'queer voices' 'home & living' 'women'
 'black voices' 'travel' 'religion' 'latino voices' 'impact' 'weddings'
 'college' 'fifty' 'divorce']",56571,62859 (61.4%),24246 N,62859,0.3233107259482542,24246,0.5263250439588043,1.1111523572148274,0.6142795781033742,21
486,487_queer voices,['queer voices'],142226,62859 (3.0%),1905 A,62859,0.009288831460126289,1905,0.3065021820220884,0.4419656040386427,0.03030592277955424,1
487,488_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'home & living' 'women' 'black voices' 'travel'
 'money' 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",4442,62859 (97.0%),1905 N,62859,0.9056923374095481,1905,0.9339980089448894,14.15105808194507,0.9696940772204458,33
488,489_queer voices_food & drink,"['queer voices', 'food & drink']",136320,62859 (7.1%),4435 A,62859,0.0222664035867235,4435,0.31559049899838837,0.4611135563380282,0.07055473361014333,2
489,490_queer voices_food & drink_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style' 'media'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",10348,62859 (92.9%),4435 N,62859,0.7980657587389184,4435,0.858647397106834,6.074507151140317,0.9294452663898567,32
490,491_business_queer voices,"['business', 'queer voices']",138031,62859 (5.9%),3702 A,62859,0.018427995420379314,3702,0.3129025835034098,0.45539770051655065,0.05889371450388966,2
491,492_business_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'style' 'food & drink' 'media'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",8637,62859 (94.1%),3702 N,62859,0.827416918429003,3702,0.8791960389392414,7.277874261896492,0.9411062854961103,32
492,493_comedy_queer voices,"['comedy', 'queer voices']",138446,62859 (5.6%),3525 A,62859,0.01751074240580214,3525,0.3122575196840615,0.45403261921615645,0.056077888607836586,2
493,494_comedy_queer voices_INVERT,"['u.s. news' 'parenting' 'world news' 'arts & culture' 'tech' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",8222,62859 (94.4%),3525 N,62859,0.8347378343017121,3525,0.8843291456225996,7.645220141084894,0.9439221113921634,32
494,495_sports_queer voices,"['sports', 'queer voices']",138672,62859 (5.5%),3428 A,62859,0.0170097900571128,3428,0.3119073492415559,0.4532926618206992,0.054534752382315976,2
495,496_sports_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",7996,62859 (94.5%),3428 N,62859,0.8387693176204926,3428,0.8871498129983769,7.861305652826413,0.945465247617684,32
496,497_black voices_queer voices,"['black voices', 'queer voices']",139017,62859 (5.2%),3279 A,62859,0.01624264399928669,3279,0.31137430898175117,0.4521677204946158,0.05216436787094927,2
497,498_black voices_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'home & living' 'women' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",7651,62859 (94.8%),3279 N,62859,0.8449865267337966,3279,0.8914905687136576,8.215788785779637,0.9478356321290508,32
498,499_home & living_queer voices,"['home & living', 'queer voices']",139202,62859 (5.1%),3201 A,62859,0.015841750758434334,3201,0.311089225530904,0.4515667878335081,0.05092349544218012,2
499,500_home & living_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",7466,62859 (94.9%),3201 N,62859,0.8483185211517953,3201,0.8938357625311055,8.419367800696492,0.9490765045578199,32
500,501_weddings_queer voices,"['weddings', 'queer voices']",139668,62859 (4.8%),3000 A,62859,0.014812839769512214,3000,0.3103734316905894,0.4500601426239368,0.04772586264496731,2
501,502_weddings_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'home & living' 'women' 'black voices' 'travel'
 'money' 'religion' 'latino voices' 'impact' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",7000,62859 (95.2%),3000 N,62859,0.8568545212499463,3000,0.8997981648749624,8.979857142857142,0.9522741373550327,32
502,503_women_queer voices,"['women', 'queer voices']",139725,62859 (4.7%),2976 A,62859,0.01469020258263239,2976,0.31028610354223435,0.4498765432098765,0.04734405574380757,2
503,504_women_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'home & living' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",6943,62859 (95.3%),2976 N,62859,0.8578980544970058,2976,0.9005329360190253,9.053579144462049,0.9526559442561924,32
504,505_crime_queer voices,"['crime', 'queer voices']",139732,62859 (4.7%),2973 A,62859,0.014674886840975166,2973,0.3102753824207393,0.4498540062405176,0.0472963298811626,2
505,506_crime_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'science' 'wellness' 'business' 'style' 'food & drink'
 'media' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",6936,62859 (95.3%),2973 N,62859,0.858027079303675,2973,0.9006232538147432,9.062716262975778,0.9527036701188374,32
506,507_queer voices_impact,"['queer voices', 'impact']",139787,62859 (4.7%),2950 A,62859,0.0145574055249055,2950,0.3101911708101813,0.449677008591643,0.04693043160088452,2
507,508_queer voices_impact_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'home & living' 'women' 'black voices' 'travel'
 'money' 'religion' 'latino voices' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",6881,62859 (95.3%),2950 N,62859,0.859033553197591,2950,0.9013335245196444,9.135154774015405,0.9530695683991155,32
508,509_divorce_queer voices,"['divorce', 'queer voices']",139827,62859 (4.7%),2932 A,62859,0.014465725309098803,2932,0.310129954708268,0.44954837048638674,0.04664407642501472,2
509,510_divorce_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'home & living' 'women' 'black voices' 'travel'
 'money' 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty']",6841,62859 (95.3%),2932 N,62859,0.8597847919655667,2932,0.9018507890961263,9.188568922672124,0.9533559235749853,32
510,511_world news_queer voices,"['world news', 'queer voices']",135546,62859 (7.6%),4767 A,62859,0.024026612232554624,4767,0.31682165268012397,0.4637466247620734,0.07583639574285306,2
511,512_world news_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'arts & culture' 'tech' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",11122,62859 (92.4%),4767 N,62859,0.785228639785891,4767,0.8496641029453509,5.651771264161122,0.9241636042571469,32
512,513_media_queer voices,"['media', 'queer voices']",140165,62859 (4.4%),2788 A,62859,0.01373236661675467,2788,0.3096136417369375,0.4484643099204509,0.04435323501805628,2
513,514_media_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",6503,62859 (95.6%),2788 N,62859,0.8660505752429284,2788,0.9062454946512499,9.666154082731047,0.9556467649819437,32
514,515_weird news_queer voices,"['weird news', 'queer voices']",140282,62859 (4.4%),2738 A,62859,0.01347832293825471,2738,0.309435318325695,0.44809027530260476,0.0435578039739735,2
515,516_weird news_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",6386,62859 (95.6%),2738 N,62859,0.8682359737165138,2738,0.9077767347822947,9.843250861259005,0.9564421960260265,32
516,517_religion_queer voices,"['religion', 'queer voices']",140422,62859 (4.3%),2678 A,62859,0.013173882458272047,2678,0.3092222096506806,0.44764353164034126,0.04260328672107415,2
517,518_religion_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'home & living' 'women' 'black voices' 'travel'
 'money' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",6246,62859 (95.7%),2678 N,62859,0.8708631792200275,2678,0.9096158020403734,10.06388088376561,0.9573967132789258,32
518,519_style_queer voices,"['style', 'queer voices']",133778,62859 (8.8%),5525 A,62859,0.028097458769204168,5525,0.31967025534360266,0.4698754653231473,0.08789513037114813,2
519,520_style_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'food & drink'
 'media' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",12890,62859 (91.2%),5525 N,62859,0.7568944804551875,5525,0.8298327370658358,4.8765709852598915,0.9121048696288518,32
520,521_science_queer voices,"['science', 'queer voices']",140681,62859 (4.1%),2566 A,62859,0.01260685860273165,2566,0.308828731453277,0.4468193999189656,0.04082152118232871,2
521,522_science_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'wellness' 'business' 'style' 'food & drink' 'media'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",5987,62859 (95.9%),2566 N,62859,0.8757662028295036,2566,0.9130377944978648,10.499248371471522,0.9591784788176713,32
522,523_queer voices_tech,"['queer voices', 'tech']",140753,62859 (4.0%),2536 A,62859,0.012455061587725674,2536,0.30871952537178554,0.44659083642977415,0.04034426255587903,2
523,524_queer voices_tech_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",5915,62859 (96.0%),2536 N,62859,0.8771192601855352,2536,0.9139936603949167,10.627049873203719,0.9596557374441209,32
524,525_money_queer voices,"['money', 'queer voices']",140996,62859 (3.9%),2431 A,62859,0.011925142871158421,2431,0.30835152436781044,0.4458211580470368,0.03867385736330518,2
525,526_money_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'home & living' 'women' 'black voices' 'travel'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",5672,62859 (96.1%),2431 N,62859,0.8817615385737841,2431,0.9172345361952985,11.082334273624824,0.9613261426366948,32
526,527_queer voices_environment,"['queer voices', 'environment']",139379,62859 (5.0%),3124 A,62859,0.015447146431432274,3124,0.31081695823732436,0.4509933347204385,0.04969853163429262,2
527,528_queer voices_environment_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",7289,62859 (95.0%),3124 N,62859,0.8515567086730912,3124,0.8960911216285568,8.623816710111127,0.9503014683657074,32
528,529_queer voices_fifty,"['queer voices', 'fifty']",141245,62859 (3.7%),2325 A,62859,0.011391251518833537,2325,0.30797534590208914,0.4450352224857517,0.036987543549849664,2
529,530_queer voices_fifty_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'home & living' 'women' 'black voices' 'travel'
 'money' 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'divorce']",5423,62859 (96.3%),2325 N,62859,0.8865293928121614,2325,0.9205793620573504,11.591185690577172,0.9630124564501503,32
530,531_queer voices_good news,"['queer voices', 'good news']",141247,62859 (3.7%),2324 A,62859,0.011386240482886343,2324,0.30797232810402436,0.44502892096823293,0.03697163492896801,2
531,532_queer voices_good news_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'home & living' 'women' 'black voices' 'travel'
 'money' 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'fifty' 'divorce']",5421,62859 (96.3%),2324 N,62859,0.8865700058582309,2324,0.9206063268892795,11.59546209186497,0.963028365071032,32
532,533_u.s. news_queer voices,"['u.s. news', 'queer voices']",141262,62859 (3.7%),2318 A,62859,0.011356009425781766,2318,0.3079496965035445,0.44498166527445454,0.036876183203678074,2
533,534_u.s. news_queer voices_INVERT,"['comedy' 'parenting' 'world news' 'arts & culture' 'tech' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",5406,62859 (96.3%),2318 N,62859,0.8868527063649014,2318,0.9208086134915403,11.627635960044396,0.963123816796322,32
534,535_arts & culture_queer voices,"['arts & culture', 'queer voices']",139480,62859 (4.9%),3081 A,62859,0.015226921157068089,3081,0.3106618101305235,0.4506667622598222,0.04901446093638143,2
